keyframe, number of point cloud, c0, c1, c2, c3, c4, c5, c6
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,148,0.075175,-0.178269,2.25139,0.0275617,-0.980254,-0.19581,0.0504416
3,187,0.0972796,-0.567162,2.21888,-0.0378015,0.97534,0.217444,0.0580393
4,217,-0.0162239,-0.2788,2.22075,0.039286,-0.97354,-0.225116,0.0465663
5,279,0.102632,-0.661053,2.22974,0.0283021,0.97709,0.210937,0.0899466
6,294,0.136011,-0.531131,2.25097,-0.0500142,-0.977119,-0.206728,0.0401561
7,329,0.0945339,-0.559739,2.1355,0.0536683,-0.972505,-0.226614,0.0302654
8,321,0.0745414,-0.731211,2.17036,0.132273,0.973375,0.187203,0.0544163
9,320,0.0673116,-0.471115,2.20148,-0.10326,-0.975179,-0.195865,0.0221541
10,349,0.095141,-0.618621,2.1094,-0.0533185,0.972035,0.228701,0.0426135
11,342,0.0784263,-0.621168,2.06969,0.120324,0.97468,0.18847,0.0508934
12,372,0.0287727,-0.627729,2.04857,0.0958914,0.976185,0.194597,0.0996177
13,364,0.00753349,0.124561,2.37554,0.0640731,0.991391,0.114183,0.0882947
14,357,0.0696886,-0.11632,2.19612,0.142024,0.982483,0.120652,0.0694373
15,351,0.0697635,-0.117591,2.20638,0.14315,0.982323,0.120624,0.0590954
16,345,0.0831858,-0.547981,2.08295,0.130506,0.973158,0.189554,0.0853023
17,370,0.109677,0.35886,2.30587,-0.0910672,-0.986486,-0.136206,0.0771485
18,357,0.153644,0.485958,2.30811,-0.11111,-0.986856,-0.117345,0.0599596
19,339,0.166955,0.685548,2.22393,-0.173452,-0.977885,-0.116854,0.0580886
20,367,0.174792,0.48706,2.29088,-0.146699,-0.98181,-0.120536,0.0892615
21,350,0.0330214,-0.0156652,2.26183,0.151013,0.981405,0.118491,0.0360373
22,360,0.0619433,0.0633119,2.27677,-0.105905,-0.986354,-0.126059,0.0762334
23,333,0.0210499,-0.012246,2.2553,0.177286,0.977017,0.118354,0.0474654
24,324,0.132216,0.228301,2.28888,-0.114529,-0.981038,-0.156357,0.0681821
25,296,0.0836041,-0.739909,2.20918,0.0834741,0.976381,0.199279,0.0952182
26,262,0.0642937,-0.415126,2.16065,0.183658,0.964137,0.191596,0.0389091
27,233,0.104351,-0.645609,2.1795,0.186716,0.967364,0.171299,0.0645541
28,199,0.0727411,-0.623446,2.23373,0.215868,0.962865,0.162149,0.09342
29,189,0.984137,-0.996246,3.69482,0.0525383,0.989525,0.134458,0.0989581
30,171,1.00341,-1.06141,3.68533,0.0117441,0.990845,0.134496,0.0888951
31,145,0.985077,-0.423181,3.88214,-0.194458,-0.964943,-0.176269,0.050159
32,142,0.978828,-0.549136,3.86133,-0.217261,-0.95335,-0.209574,0.0425904
