keyframe, number of point cloud, radius (m), perimeter (m), height (m) 
0,0,0,0,0
1,0,2.16966e-08,1.36324e-07,0
2,0,0,0,0
3,0,0.0283357,0.178039,0
4,0,1.91656e-08,1.20421e-07,0
5,0,0,0,0
6,0,0.0160878,0.101083,0
7,0,0,0,0
8,0,0.0653116,0.410365,0
9,175,0.0426036,0.267687,0
10,203,0.0779614,0.489846,0
11,211,0.0703852,0.442244,0
12,214,0.00927757,0.0582927,0
13,246,0.00405602,0.0254848,0
14,245,0.0437443,0.274853,0
15,246,0.0653195,0.410415,0
16,238,0.088585,0.556596,0
17,256,0.0545223,0.342573,0
18,273,0.0726994,0.456784,0
19,243,0.0905126,0.568707,0
20,219,0.0103256,0.0648777,0
21,206,0.0223767,0.140597,0
22,190,0.0659916,0.414637,0
23,168,0.042462,0.266796,0
24,137,0.0364287,0.228888,0
25,91,0.00892198,0.0560585,0
26,55,0.0194667,0.122313,0
27,55,0.0308708,0.193967,0
28,55,0.0308708,0.193967,0
29,55,0.0772736,0.485524,0
30,55,0.0772736,0.485524,0
31,55,0.0772736,0.485524,0
32,55,0.0772736,0.485524,0
33,55,0.0772736,0.485524,0
34,55,0.0772736,0.485524,0
35,55,0.0772736,0.485524,0
36,53,0.0148443,0.0932692,0
37,43,4.60164e-08,2.8913e-07,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,5,0,0,0
42,0,0,0,0
43,0,0.00741878,0.0466136,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0.028931,0.181779,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0.00391509,0.0245992,0
55,0,0.00573305,0.0360218,0
56,37,0,0,0
57,0,0,0,0
58,37,0,0,0
59,0,0.0203615,0.127935,0
60,0,0,0,0
61,0,0.00559387,0.0351473,0
62,0,2.22936e-07,1.40075e-06,0
63,0,0.00537892,0.0337967,0
64,81,0.0971076,0.610145,0
65,139,0.063365,0.398134,0
66,154,0.0501596,0.315162,0
67,163,0.0938275,0.589536,0
68,168,0.070638,0.443832,0
69,165,0.0664572,0.417563,0
70,165,0.0664572,0.417563,0
71,162,0.0470748,0.29578,0
72,163,0.048901,0.307254,0
73,134,0.0301229,0.189268,0
74,146,0.0958948,0.602525,0
75,93,0.0483582,0.303843,0
76,0,0.0347209,0.218158,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0.00156473,0.00983151,0
87,0,0.0456494,0.286823,0
88,52,0.0602154,0.378345,0
89,53,0.0704304,0.442527,0
90,52,0.0659517,0.414387,0
91,54,0.0718191,0.451253,0
92,56,0.0835036,0.524668,0
93,53,0.0597124,0.375184,0
94,56,0.0631901,0.397035,0
95,0,0,0,0
96,53,0.0268511,0.16871,0
97,51,0.0853192,0.536077,0
98,45,0.0966673,0.607379,0
99,0,0,0,0
100,0,0.0595688,0.374282,0
101,0,0.0417724,0.262464,0
102,0,0.0765976,0.481277,0
103,0,0.0388808,0.244295,0
104,0,0.0967943,0.608176,0
105,0,0.072086,0.45293,0
106,0,0.0952764,0.598639,0
107,0,0.0956424,0.600939,0
108,0,0.0272583,0.171269,0
109,23,0.000755555,0.00474729,0
110,0,0.0505478,0.317601,0
111,225,0.00686687,0.0431458,0
112,248,0.0501017,0.314798,0
113,220,0.0882807,0.554684,0
114,254,0.0978883,0.61505,0
115,254,0.0817277,0.51351,0
116,249,0.0289297,0.181771,0
117,252,0.0625799,0.393201,0
118,246,0.0142967,0.0898291,0
119,230,0.018202,0.114366,0
120,251,0.0556284,0.349524,0
121,250,0.0984868,0.618811,0
122,234,0.00784889,0.049316,0
123,160,0.0390363,0.245272,0
124,84,0.0862727,0.542068,0
125,0,0.0747562,0.469707,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0.0192948,0.121233,0
138,0,0,0,0
139,0,0,0,0
140,0,0.061714,0.387761,0
141,0,0,0,0
142,0,0.0783716,0.492423,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0.0786429,0.494128,0
162,0,0,0,0
163,0,0.0533582,0.335259,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0.0718106,0.451199,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0.0292675,0.183893,0
189,48,0.0804866,0.505712,0
190,51,0.0479117,0.301038,0
191,52,0.0660237,0.414839,0
192,52,0.0138304,0.086899,0
193,0,0.0331257,0.208135,0
